"","Model","Median_Sigma","Lower_95","Upper_95"
"1","Model 1 (Pooled)",0.703520608884096,0.559909878115003,0.923785709888829
"2","Model 2 (Trt1 Specific)",0.895478494041571,0.641229402619321,1.39264070687831
