"","Model","Mean_Deviance","Penalty_pD","DIC","Delta_DIC"
"1","Pooled Variance (Audit 1)",59.0000233485672,4.12526469296385,63.125288041531,0
"2","Separate Variance (Audit 2)",61.2381454788128,5.76370209098764,67.0018475698004,3.87655952826942
