"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",5.032,0.197128365773657,25.5265140572299,1.93657464606787e-20
"grouptrt1",-0.371,0.278781608405549,-1.33079080116468,0.194387880054301
"grouptrt2",0.494,0.27878160840555,1.77199637675297,0.0876816750626833
